amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta_x,sharpe_ratio_x,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,expense_ratio_flag,return_flag,return_rank,expense_rank,sharpe_ratio_y,sharpe_ratio,sharpe_rank,calculated_sharpe_ratio,calculated_max_drawdown,mdd_rank,alpha_y,beta_y,calculated_alpha,calculated_beta,alpha_rank,fund_score
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,Valid,Valid,0.975,0.8875,-0.1361781118297034,-0.1361781118297034,0.25,-0.1361781118297034,-0.5257422117012851,1.0,0.048824215945539845,0.0620018043826717,0.048824215945539845,0.0620018043826717,0.125,72.99107142857143
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,Valid,Valid,0.95,0.3125,0.05261813647585502,0.05261813647585502,0.35,0.05261813647585502,-0.3544691649336603,0.95,0.10897091901704538,-0.06528924788351523,0.10897091901704538,-0.06528924788351523,0.35,69.56845238095238
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,Valid,Valid,0.375,0.2625,0.8609773262277788,0.8609773262277788,0.9,0.8609773262277788,-0.1501238549864533,0.425,0.23201007160635082,-0.031751441138909736,0.23201007160635082,-0.031751441138909736,0.775,68.37797619047619
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,Valid,Valid,0.575,0.55,0.4046154783292054,0.4046154783292054,0.55,0.4046154783292054,-0.1982565826298267,0.675,0.1625385327998104,0.041896462728119775,0.1625385327998104,0.041896462728119775,0.525,67.26190476190477
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,Valid,Valid,0.55,0.3625,0.6406730942266663,0.6406730942266663,0.65,0.6406730942266663,-0.1527259422823477,0.475,0.20873010086942337,-0.026387719943843025,0.20873010086942337,-0.026387719943843025,0.675,67.1875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,Valid,Valid,0.675,0.775,0.13479784106103967,0.13479784106103967,0.375,0.13479784106103967,-0.21117279560132118,0.725,0.11989100971217971,0.009054412621739151,0.11989100971217971,0.009054412621739151,0.375,66.66666666666666
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,Valid,Valid,0.425,0.675,0.5062729716095968,0.5062729716095968,0.575,0.5062729716095968,-0.15200013055606398,0.45,0.17729754927531766,0.04882040425957739,0.17729754927531766,0.04882040425957739,0.625,64.58333333333334
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,Valid,Valid,0.925,0.6,-0.15165815861644058,-0.15165815861644058,0.225,-0.15165815861644058,-0.5167775370852656,0.975,0.048015953637759554,-0.06695117463929204,0.048015953637759554,-0.06695117463929204,0.1,64.43452380952381
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,Valid,Valid,0.35,0.8875,0.3888288460001761,0.3888288460001761,0.5,0.3888288460001761,-0.18629743138595511,0.65,0.1564383594816967,-0.03663900671860936,0.1564383594816967,-0.03663900671860936,0.475,62.27678571428571
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,Moderate,Valid,Valid,0.475,0.1125,0.7174089959890148,0.7174089959890148,0.775,0.7174089959890148,-0.11291596329323073,0.225,0.21399784776051212,0.021086316250128037,0.21399784776051212,0.021086316250128037,0.725,61.979166666666664
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,Valid,Valid,0.175,0.925,0.6482414723266909,0.6482414723266909,0.675,0.6482414723266909,-0.11803493502764295,0.275,0.1986859936686296,-0.026159307513513426,0.1986859936686296,-0.026159307513513426,0.65,61.60714285714286
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,Valid,Valid,0.7,0.0375,0.3846373345033858,0.3846373345033858,0.475,0.3846373345033858,-0.21539827112383225,0.75,0.16211256794033255,0.016682689437770844,0.16211256794033255,0.016682689437770844,0.5,60.639880952380956
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,Valid,Valid,0.85,0.2,-0.05816681141492266,-0.05816681141492266,0.3,-0.05816681141492266,-0.24003511326274884,0.825,0.0780443887615508,0.018056874208118138,0.0780443887615508,0.018056874208118138,0.3,59.82142857142857
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,Valid,Valid,0.2,0.525,0.5165503915082109,0.5165503915082109,0.6,0.5165503915082109,-0.13897862823061635,0.35,0.17703302365844073,-0.040268952369820595,0.17703302365844073,-0.040268952369820595,0.6,52.827380952380956
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,Valid,Valid,0.3,0.825,-0.04707325681075922,-0.04707325681075922,0.325,-0.04707325681075922,-0.21751396370148224,0.775,0.08232801295222093,0.02588321244009315,0.08232801295222093,0.02588321244009315,0.325,52.083333333333336
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,Valid,Valid,0.725,0.4125,-0.29488891285109065,-0.29488891285109065,0.2,-0.29488891285109065,-0.2800112356639287,0.875,0.028969397866379445,-0.042125029021894356,0.028969397866379445,-0.042125029021894356,0.025,50.22321428571429
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,Valid,Valid,0.225,0.7,0.3931881969124046,0.3931881969124046,0.525,0.3931881969124046,-0.1165062450540909,0.25,0.1513635464823924,-0.001433521389780124,0.1513635464823924,-0.001433521389780124,0.45,49.851190476190474
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,Valid,Valid,0.275,0.175,0.5197971450361781,0.5197971450361781,0.625,0.5197971450361781,-0.1085986215250232,0.175,0.17048756803412696,-0.019486785689474522,0.17048756803412696,-0.019486785689474522,0.55,46.726190476190474
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,Valid,Valid,0.4,0.2625,0.2396633677728518,0.2396633677728518,0.4,0.2396633677728518,-0.14844576917771746,0.4,0.13173190226099432,-0.004050271130006523,0.13173190226099432,-0.004050271130006523,0.425,45.75892857142857
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,Valid,Valid,0.325,0.15,0.2551174125622312,0.2551174125622312,0.425,0.2551174125622312,-0.1757361416468729,0.6,0.13042924450705445,0.0363563990221998,0.13042924450705445,0.0363563990221998,0.4,43.601190476190474
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,Valid,Valid,0.625,0.225,-0.3210192604995411,-0.3210192604995411,0.175,-0.3210192604995411,-0.24734440880673303,0.85,0.03747580763443281,-0.05826843143880892,0.03747580763443281,-0.05826843143880892,0.05,42.857142857142854
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,Valid,Valid,0.15,0.85,-3.6501838785684964,-3.6501838785684964,0.075,-3.6501838785684964,-0.0009773140045925555,0.025,0.06746210411099539,-0.0004440926329707229,0.06746210411099539,-0.0004440926329707229,0.25,29.017857142857146
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,Valid,Valid,0.25,0.0375,-0.13100916883965244,-0.13100916883965244,0.275,-0.13100916883965244,-0.1440161790933726,0.375,0.0689952982167755,0.009730745001153646,0.0689952982167755,0.009730745001153646,0.275,28.794642857142854
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,Valid,Valid,0.05,1.0,-0.8505789759662257,-0.8505789759662257,0.125,-0.8505789759662257,-0.08316361763638702,0.15,0.05074772999976104,0.0012566742731558514,0.05074772999976104,0.0012566742731558514,0.15,28.720238095238095
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,Valid,Valid,0.1,0.95,-4.000348969233389,-4.000348969233389,0.05,-4.000348969233389,-0.0011629327956168556,0.05,0.06455677495375998,-0.0004007442394784014,0.06455677495375998,-0.0004007442394784014,0.225,27.976190476190478
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,Valid,Valid,0.125,0.975,-1.0399413574427712,-1.0399413574427712,0.1,-1.0399413574427712,-0.04308263824636349,0.1,0.042817920315060876,0.0011582183155281456,0.042817920315060876,0.0011582183155281456,0.075,27.827380952380953
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,Valid,Valid,0.075,0.8,-0.7430986305648435,-0.7430986305648435,0.15,-0.7430986305648435,-0.04328728923970093,0.125,0.05620895216638369,-0.006413850728276462,0.05620895216638369,-0.006413850728276462,0.175,27.083333333333332
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,Valid,Valid,0.025,0.75,-4.650400707150908,-4.650400707150908,0.025,-4.650400707150908,-0.0016224980244717857,0.075,0.060861457957871144,0.0002667096833823837,0.060861457957871144,0.0002667096833823837,0.2,20.684523809523807
